Frame,Timestamp,unity_x,unity_y,unity_z,X(accel),Y(accel),Z(accel),Angles,loadcell(N),,,
1,0,1.162545455,0.18,-0.952272727,0.089840506,1.637967305,-0.755121449,83.21513318,-0.467516502,,,
2,0.01667,1.160865039,0.18999166,-0.951667172,-0.057036065,1.579694308,-1.032475111,86.83807617,-0.747710112,,,평균: 18.15191515809617
3,0.03333,1.159184624,0.199983319,-0.951061617,-0.338873367,1.682740144,-1.209621708,74.34987893,-0.817758515,,,표준 편차: 3.8434281735520286
4,0.05,1.15818432,0.214962469,-0.955292415,-0.583757209,1.865420065,-1.331297574,66.32315467,-0.502540703,,,
5,0.06667,1.157185154,0.229949958,-0.959531301,-0.494408235,1.936851504,-1.335475283,69.68487091,-0.187322893,,,
6,0.08333,1.158494503,0.225020851,-0.971088028,-0.311502388,1.977083566,-1.294493913,76.46979316,-0.012201887,,,
7,0.1,1.159811585,0.220025021,-0.98266927,-0.032232767,2.082790375,-1.244523002,88.51638843,-0.152298691,,,
8,0.11667,1.164969748,0.224970809,-0.963446559,0.159716453,2.173399311,-1.205656738,82.45381846,-0.082250289,,,
9,0.13333,1.170147244,0.229966639,-0.944068795,0.169291055,2.12503404,-1.2284214,82.15338676,-0.887806918,,,
10,0.15,1.157640306,0.23,-0.947774029,0.170235596,2.106062299,-1.212074518,82.00511621,-0.152298691,,,
11,0.16667,1.145014482,0.23,-0.951634443,0.265749539,2.115430103,-1.192040488,77.4321896,-0.327419697,,,
12,0.18333,1.15477231,0.23,-0.950315541,0.329081,2.100115855,-1.175088616,74.35521312,0.092870716,,,
13,0.2,1.164718553,0.23,-0.948953042,0.356300302,2.092384555,-1.193532527,73.3782762,-0.502540703,,,
14,0.21667,1.158433619,0.23,-0.949688756,0.288952612,2.1158972,-1.235163761,76.83308771,0.022822314,,,
15,0.23333,1.151984457,0.23,-0.9504457,0.168450947,2.18367874,-1.261973649,82.39697958,-0.607613307,,,
16,0.25,1.153165896,0.234937448,-0.969531049,0.124534209,2.203498049,-1.294681142,84.50567426,-0.152298691,,,
17,0.26667,1.154437562,0.239933278,-0.988833119,0.152858407,2.187545096,-1.306656795,83.32761763,-0.11727449,,,
18,0.28333,1.158308211,0.235070892,-0.984908636,0.194155102,2.177246809,-1.305223506,81.53915756,0.022822314,,,
19,0.3,1.162214042,0.230075063,-0.98066975,0.242689347,2.164201713,-1.300086568,79.4261989,-0.327419697,,,
20,0.31667,1.162630601,0.23,-0.961817676,0.286601282,2.148802209,-1.291775076,77.49063009,-0.082250289,,,
21,0.33333,1.162993934,0.23,-0.94274269,0.34029967,2.131369352,-1.284219174,75.15854044,-0.047226088,,,
