Frame,Timestamp,unity_x,unity_y,unity_z,X(accel),Y(accel),Z(accel),Angles,loadcell(N),,
1,0,1.106818182,0.18,-1.005909091,2.173830634,-2.856232139,0.05274366,1.389894998,-0.292395496,,
2,0.01667,1.101004853,0.199983319,-0.992662572,2.847919874,-3.657243988,0.07032488,1.414541255,-0.187322893,,평균: 16.05721113440875
3,0.03333,1.095191523,0.219966639,-0.979416054,3.109183035,-3.812268426,0.040645723,0.748973516,-0.887806918,,표준 편차: 2.5016340241395727
4,0.05,1.104068618,0.22,-0.987177446,3.190159473,-3.950602748,0.084389856,1.515302064,-0.3974681,,
5,0.06667,1.112970278,0.22,-0.994973968,3.231513522,-4.130947188,0.126375867,2.239543743,-0.95785532,,
6,0.08333,1.108337706,0.244895746,-0.988436576,3.206922514,-4.24897425,0.024469531,0.437171039,-0.292395496,,
7,0.1,1.103659792,0.269874896,-0.981851164,3.302151447,-4.318611356,0.015361871,0.266542601,-0.67766171,,
8,0.11667,1.106889984,0.250116764,-0.993115475,3.300436936,-4.330810902,-0.017368376,0.301513239,-0.292395496,,
9,0.13333,1.110159982,0.230133445,-1.004469634,3.268752744,-4.325463986,-0.03585862,0.628516535,-0.047226088,,
10,0.15,1.107881037,0.234962469,-1.005146966,3.249718537,-4.321089236,-0.016014486,0.28234907,-0.502540703,,
11,0.16667,1.105564789,0.239958299,-1.005752521,3.246486942,-4.330032405,0.006933921,0.122373442,-0.047226088,,
12,0.18333,1.097889074,0.259816514,-0.998326383,3.360339374,-4.447993744,0.038188654,0.651111174,-0.572589106,,
13,0.2,1.090168246,0.279799833,-0.990832638,3.436275328,-4.619241031,0.042995702,0.716864471,-0.082250289,,
14,0.21667,1.084965274,0.265162636,-0.978393105,3.416200835,-4.65183844,0.031773903,0.53288964,-0.257371295,,
15,0.23333,1.079787778,0.250175146,-0.965903531,3.379690288,-4.623711598,0.021954829,0.372194262,0.127894917,,
16,0.25,1.073892107,0.274687239,-0.988873809,3.369763765,-4.638881731,0.00423923,0.072079195,0.23296752,,
17,0.26667,1.067987944,0.299666389,-1.012263376,3.32725954,-4.677543882,-0.024331225,0.418978925,-0.11727449,,
18,0.28333,1.077408826,0.28028357,-1.005331463,3.273275453,-4.696234698,-0.053943712,0.944151298,0.092870716,,
19,0.3,1.087037152,0.26030025,-0.997989107,3.236056993,-4.709279795,-0.080594951,1.426673304,-0.362443898,,
20,0.31667,1.094831375,0.26,-1.007422094,3.184339944,-4.713888904,-0.108371764,1.949179172,-0.012201887,,
21,0.33333,1.102597619,0.26,-1.017110976,3.130435221,-4.707779081,-0.13012616,2.3803048,-0.047226088,,
22,0.35,1.096966336,0.240350292,-1.014221068,3.084512712,-4.70548458,-0.136608081,2.535880301,0.478136927,,
23,0.36667,1.09110759,0.220366972,-1.011117598,3.0487322,-4.712822884,-0.145755656,2.737147592,0.793354735,,
24,0.38333,1.089082948,0.24942452,-1.025178432,3.018845387,-4.728638055,-0.151093844,2.865274838,0.793354735,,
25,0.4,1.087130033,0.2793995,-1.039560366,2.997086903,-4.757762206,-0.147143763,2.810713518,0.863403136,,
26,0.41667,1.082462203,0.294687239,-1.042296358,3.007814086,-4.790324032,-0.140636669,2.677034856,0.303015922,,
27,0.43333,1.077738873,0.309674729,-1.044794273,2.963645428,-4.820560013,-0.142837889,2.759331455,0.758330534,,
28,0.45,1.072260217,0.31,-1.038702201,2.914683423,-4.838292442,-0.142234212,2.793771815,0.58320953,,
29,0.46667,1.066764804,0.31,-1.032419567,2.884141844,-4.862395986,-0.131412177,2.608803434,0.933451538,,
30,0.48333,1.06858799,0.290483736,-1.028428615,2.862904379,-4.904436789,-0.13617986,2.723337368,1.03852414,,
31,0.5,1.070586322,0.270500417,-1.024492506,2.838257914,-4.943850041,-0.140649563,2.836965417,0.58320953,,
32,0.51667,1.07285033,0.279741451,-1.031921424,2.805919543,-4.930519435,-0.137853871,2.81266059,0.968475739,,
33,0.53333,1.075121162,0.289733111,-1.039642252,2.764339097,-4.871320392,-0.148800197,3.08117164,0.548185329,,
34,0.55,1.074739783,0.265688073,-1.03881707,2.718639122,-4.834926862,-0.161319291,3.395849467,1.213645144,,
35,0.56667,1.074285617,0.240708924,-1.037757348,2.677583076,-4.802653328,-0.168868461,3.608721866,0.933451538,,
36,0.58333,1.072772386,0.254562135,-0.989701645,2.636698127,-4.733337213,-0.176009568,3.819043981,1.423790347,,
37,0.6,1.07122822,0.269549625,-0.940273207,2.591982272,-4.651767681,-0.182774828,4.033561673,1.774032353,,
38,0.61667,1.07761339,0.26030859,-0.939889175,2.549559537,-4.605369002,-0.185247533,4.155730703,1.493838749,,
39,0.63333,1.084244219,0.250316931,-0.941024591,2.516836085,-4.548072024,-0.197214045,4.480423304,1.809056553,,
40,0.65,1.081156342,0.274186822,-0.935417014,2.476467257,-4.484358707,-0.204843677,4.728518104,1.178620943,,
41,0.66667,1.077750095,0.299165972,-0.929588546,2.447042357,-4.450655345,-0.212109993,4.954024134,1.809056553,,
42,0.68333,1.078119266,0.304829024,-0.920321227,2.418986057,-4.429059037,-0.213670467,5.047868922,1.458814548,,
43,0.7,1.078618849,0.309824854,-0.910935123,2.385315819,-4.408444379,-0.223903138,5.3624868,1.809056553,,
44,0.71667,1.090731898,0.28589658,-0.93909192,2.353142037,-4.380353399,-0.235390792,5.71243949,1.949153355,,
45,0.73333,1.103266889,0.260917431,-0.968612733,2.319072268,-4.353483766,-0.239688588,5.900874701,1.248669344,,
46,0.75,1.091083934,0.274437031,-0.950957995,2.281615163,-4.30686548,-0.248714534,6.221140207,1.844080754,,
47,0.76667,1.077958526,0.28942452,-0.931504537,2.250455112,-4.255895225,-0.258967305,6.564341549,1.03852414,,
48,0.78333,1.07531458,0.294804003,-0.936507822,2.219020338,-4.211629845,-0.262520817,6.747006807,1.703983952,,
49,0.8,1.073089165,0.299799833,-0.942487679,2.191874215,-4.182730977,-0.265932189,6.917679444,1.423790347,,
50,0.81667,1.074743877,0.3,-0.949702783,2.165792645,-4.160889536,-0.269209782,7.085568696,1.879104954,,
51,0.83333,1.076560543,0.3,-0.956969444,2.140714212,-4.136983044,-0.270881707,7.211765385,2.054225956,,
52,0.85,1.068584957,0.266488741,-0.954298784,2.120871652,-4.109703245,-0.27394223,7.359856062,1.388766147,,
53,0.86667,1.06018288,0.231517932,-0.951195314,2.100360642,-4.079237544,-0.2768894,7.509965987,1.914129155,,
54,0.88333,1.046089468,0.253894912,-0.958518715,2.080595486,-4.053999656,-0.2797294,7.657316659,1.318717746,,
55,0.9,1.031737812,0.278874062,-0.966315237,2.057476507,-4.024267923,-0.282467972,7.817185942,1.703983952,,
56,0.91667,1.071120934,0.256146789,-0.971003614,2.03782772,-3.990278864,-0.28646027,8.001716635,1.59891135,,
57,0.93333,1.113040488,0.23116764,-0.975545278,2.014936746,-3.952252686,-0.286335271,8.08794004,1.703983952,,
58,0.95,1.10019357,0.239524604,-0.969047059,1.9953906,-3.914235314,-0.28882263,8.236072013,1.844080754,,
59,0.96667,1.084661081,0.249516264,-0.962007481,1.973969944,-3.880002947,-0.29892103,8.610957139,0.898427337,,
60,0.98333,1.070079384,0.25,-0.952734981,1.953251604,-3.85184592,-0.314994854,9.1610397,1.56388715,,
61,1,1.055546061,0.25,-0.943348877,1.933201598,-3.817287562,-0.328068247,9.631451935,1.668959751,,
62,1.01667,1.069313898,0.25,-0.97250297,1.91138234,-3.774234833,-0.337062824,10.00100436,1.59891135,,
63,1.03333,1.084573887,0.25,-1.003689059,1.890244933,-3.719545309,-0.33736106,10.11930546,1.739008152,,
64,1.05,1.050996816,0.264211843,-0.984128819,1.872089645,-3.665376496,-0.342384859,10.36423289,1.493838749,,
65,1.06667,1.014754341,0.279199333,-0.961798974,1.85792913,-3.626582392,-0.34259342,10.44771493,1.143596742,,
66,1.08333,1.012904163,0.289457882,-0.964905098,1.847584516,-3.61036606,-0.346240809,10.61422417,1.458814548,,
67,1.1,1.012994996,0.299449541,-0.969446761,1.842001888,-3.609066766,-0.345255067,10.61604076,1.59891135,,
68,1.11667,1.026518083,0.271676397,-0.979853413,1.836581075,-3.599047711,-0.345412963,10.65141719,1.59891135,,
69,1.13333,1.040824323,0.241701418,-0.990602017,1.825902182,-3.583919718,-0.34776462,10.78350233,1.388766147,,
70,1.15,1.037523846,0.24,-1.002849976,1.815524102,-3.564962498,-0.344631756,10.74828612,0.898427337,,
71,1.16667,1.033163849,0.24,-1.015188162,1.809644384,-3.543384668,-0.340517311,10.65662901,1.073548341,,
72,1.18333,1.014777618,0.25881568,-0.993173478,1.811192469,-3.521363317,-0.332299726,10.3964409,0.793354735,,
73,1.2,0.995520964,0.278798999,-0.969026967,1.810650566,-3.499937138,-0.325343962,10.18640563,1.248669344,,
74,1.21667,0.998973842,0.256522102,-0.985646625,1.811133534,-3.482103634,-0.317547824,9.944644921,1.388766147,,
75,1.23333,1.003878838,0.231542952,-1.004873,1.810606667,-3.46374558,-0.31096921,9.74539193,0.58320953,,
