Frame,Timestamp,unity_x,unity_y,unity_z,X(accel),Y(accel),Z(accel),Angles,loadcell(N),,
1,0,1.126,0.14,-1.009242424,0.809764374,-5.688710887,-0.678181915,39.94635077,-0.012201887,,평균: 15.0489994998708
2,0.01667,1.131813329,0.15498749,-1.015222281,1.029164859,-7.408704725,-0.596484416,30.09576675,-0.467516502,,표준 편차: 2.382638064254446
3,0.03333,1.137626659,0.169974979,-1.021202138,1.32831875,-8.287584836,-0.478696132,19.81801946,-0.95785532,,
4,0.05,1.133737054,0.17,-1.002697955,1.507811084,-8.754486689,-0.438798976,16.22590498,0.162919118,,
5,0.06667,1.129831223,0.17,-0.984152829,1.614842397,-9.027988207,-0.425024127,14.74573965,0.057846515,,
6,0.08333,1.129682387,0.17,-0.995558041,1.637163721,-9.104652085,-0.448159035,15.30917254,0.162919118,,
7,0.1,1.129546137,0.17,-1.007063588,1.672850079,-9.05829244,-0.513597426,17.06750195,0.443112726,,
8,0.11667,1.124800591,0.174970809,-1.007874365,1.700606135,-9.055805057,-0.590140463,19.13768032,0.688282132,,
9,0.13333,1.120031845,0.179966639,-1.008631309,1.692498397,-9.061368427,-0.651374893,21.04971815,0.443112726,,
10,0.15,1.119503753,0.175037531,-0.999764071,1.685864792,-9.024720584,-0.666503274,21.57126571,0.267991721,,
11,0.16667,1.11900417,0.170041701,-0.990832133,1.711912397,-8.98159192,-0.698345142,22.19215649,0.373064324,,
12,0.18333,1.117603837,0.17,-0.992183764,1.68148859,-8.950908649,-0.71345141,22.99139118,0.478136927,,
13,0.2,1.116195921,0.17,-0.993621958,1.720366578,-8.913818306,-0.698921234,22.11008617,0.478136927,,
14,0.21667,1.117305861,0.174945788,-0.985618192,1.754060834,-8.876637825,-0.69658702,21.65942256,0.092870716,,
15,0.23333,1.118441277,0.179941618,-0.977518892,1.740916238,-8.806338521,-0.723396908,22.56418157,0.548185329,,
16,0.25,1.123302222,0.18,-0.978845629,1.729318064,-8.730980411,-0.747052691,23.36398954,0.653257931,,
17,0.26667,1.128207218,0.18,-0.980283822,1.761109387,-8.663995425,-0.738159125,22.74072122,-0.292395496,,
18,0.28333,1.124598302,0.18,-0.97119165,1.829439234,-8.576233629,-0.722102824,21.5397771,0.548185329,,
