Frame,Time,Cursor Position X,Cursor Position Y,Cursor Position Z,Cursor Velocity X,Cursor Velocity Y,Cursor Velocity Z
1,0,0,0,0,0,0,0
2,0.02,-0.08449334,0.002941862,-0.09512936,0.0005776565,0.0005776565,0.0002247748
3,0.0638151,-0.08439849,0.004401162,-0.09499005,0.03781373,0.03781373,0.002393689
4,0.1025549,-0.08401375,0.006311923,-0.09486481,0.050864,0.050864,-0.0005973463
5,0.1340617,-0.08407407,0.008322835,-0.09504124,0.06494299,0.06494299,-0.001344143
6,0.1495231,-0.08432132,0.009525716,-0.09523708,0.07020057,0.07020057,-0.01127465
7,0.1649574,-0.08456121,0.01072973,-0.0954271,0.07737115,0.07737115,-0.01204113
8,0.1774334,-0.08472816,0.01179287,-0.09562415,0.08052851,0.08052851,-0.01221004
9,0.1893208,-0.0849148,0.01278582,-0.09577211,0.08353329,0.08353329,-0.01230161
10,0.193326,-0.08492854,0.01306963,-0.09584796,0.08155452,0.08155452,-0.01283942
11,0.2073469,-0.08510872,0.01406331,-0.09599091,0.07691593,0.07691593,-0.01093223
12,0.2174826,-0.08520944,0.01463136,-0.09607082,0.07342548,0.07342548,-0.01026675
13,0.2490127,-0.08557274,0.01676288,-0.09635906,0.06466861,0.06466861,-0.008485621
14,0.2535073,-0.08561946,0.01704724,-0.09639613,0.06150107,0.06150107,-0.008017263
15,0.2648576,-0.08576845,0.01768261,-0.09651433,0.0607589,0.0607589,-0.007727511
16,0.2685308,-0.08580253,0.01789594,-0.09654137,0.06083876,0.06083876,-0.007703011
17,0.2799696,-0.08590344,0.01853606,-0.09662143,0.05941222,0.05941222,-0.007370315
18,0.2830919,-0.0859476,0.01882058,-0.09665648,0.05815477,0.05815477,-0.007164781
19,0.2863839,-0.08596955,0.01896283,-0.09667389,0.05815602,0.05815602,-0.007115416
20,0.2978342,-0.08605631,0.01953201,-0.09674272,0.05654835,0.05654835,-0.006790498
21,0.3012821,-0.08608843,0.01974544,-0.09676821,0.0568086,0.0568086,-0.006757449
22,0.3239373,-0.08626615,0.02095518,-0.0969092,0.05289577,0.05289577,-0.006053045
23,0.3348785,-0.08637854,0.02152455,-0.09694565,0.05237243,0.05237243,-0.005872802
24,0.3452661,-0.08651612,0.02223635,-0.09699003,0.05486805,0.05486805,-0.006013925
25,0.3485429,-0.08652589,0.02230753,-0.09699777,0.05657902,0.05657902,-0.005939342
26,0.3591767,-0.08665074,0.02323291,-0.09709668,0.07159526,0.07159526,-0.007542711
27,0.3626516,-0.08668832,0.02351764,-0.09712645,0.07474497,0.07474497,-0.007790995
28,0.3657626,-0.08672549,0.02380238,-0.09715589,0.08055835,0.08055835,-0.008306976
29,0.3787236,-0.08691403,0.02529737,-0.09730525,0.1040452,0.1040452,-0.01014941
30,0.382292,-0.08697442,0.02579564,-0.0973531,0.109804,0.109804,-0.01049774
31,0.385418,-0.08699993,0.0260092,-0.09737331,0.1133894,0.1133894,-0.01074614
32,0.3991222,-0.08714915,0.02793092,-0.09760996,0.1270717,0.1270717,-0.01109854
33,0.4025992,-0.08721067,0.0285002,-0.09765877,0.1317383,0.1317383,-0.01188737
34,0.4066843,-0.0872706,0.02906941,-0.09770632,0.1352811,0.1352811,-0.01189154
35,0.4192405,-0.08741492,0.03091876,-0.09788737,0.148699,0.148699,-0.01451478
36,0.4223283,-0.08747464,0.03155868,-0.0979348,0.148406,0.148406,-0.01093521
37,0.4258473,-0.08751335,0.03198519,-0.09796554,0.1482756,0.1482756,-0.01064178
38,0.4411894,-0.08782627,0.03439248,-0.09821402,0.1514612,0.1514612,-0.009937688
39,0.445836,-0.0879255,0.03495646,-0.09829281,0.1509458,0.1509458,-0.00979203
40,0.4633269,-0.08877447,0.04187874,-0.09877926,0.4962429,0.4962429,-0.02702425
41,0.4668179,-0.08896124,0.04279104,-0.09885968,0.4474784,0.4474784,-0.0205469
42,0.4938698,-0.09050512,0.05047241,-0.10041,0.29097,0.29097,-0.06995293
43,0.499296,-0.09091032,0.05186379,-0.1008703,0.2908149,0.2908149,-0.07715284
44,0.5417382,-0.09484851,0.0638611,-0.1049426,0.2745639,0.2745639,-0.09090532
45,0.5463951,-0.09526884,0.06478694,-0.1052808,0.2643475,0.2643475,-0.09052058
46,0.5631422,-0.09684571,0.06809376,-0.1066234,0.1929693,0.1929693,-0.08002467
