Frame,Time,Cursor Position X,Cursor Position Y,Cursor Position Z,Cursor Velocity X,Cursor Velocity Y,Cursor Velocity Z
1,0,0,0,0,0,0,0
2,0.02,-0.0535031,-0.01958123,-0.0754761,-0.03898523,-0.03898523,-0.02407716
3,0.0388813,-0.0538862,-0.02015975,-0.07580587,-0.03439995,-0.03439995,-0.02023007
4,0.0447175,-0.05410436,-0.02038281,-0.07599364,-0.03211116,-0.03211116,-0.0190636
5,0.0495636,-0.05418638,-0.02048488,-0.07606424,-0.03161148,-0.03161148,-0.01914125
6,0.0519976,-0.05421413,-0.02056846,-0.07608813,-0.03113499,-0.03113499,-0.01877818
7,0.0538705,-0.05426841,-0.02058682,-0.07613485,-0.03072193,-0.03072193,-0.018923
8,0.0557546,-0.05429615,-0.02067032,-0.07615873,-0.03028791,-0.03028791,-0.01976742
9,0.0576672,-0.05435046,-0.02068865,-0.07620547,-0.0304296,-0.0304296,-0.01932026
10,0.0597623,-0.05437821,-0.02077208,-0.07622936,-0.03018466,-0.03018466,-0.01944535
11,0.0614795,-0.05448687,-0.02080861,-0.07632288,-0.03010758,-0.03010758,-0.01887001
12,0.0636411,-0.05451462,-0.02089196,-0.07634678,-0.03002122,-0.03002122,-0.01958413
13,0.0654014,-0.05454237,-0.02097529,-0.07637066,-0.03021503,-0.03021503,-0.01957689
14,0.0671144,-0.05459674,-0.02099347,-0.07641746,-0.02996534,-0.02996534,-0.02019762
15,0.069453,-0.05462451,-0.02107671,-0.07644136,-0.02964395,-0.02964395,-0.01996137
16,0.0711756,-0.05467889,-0.02109483,-0.07648817,-0.02965642,-0.02965642,-0.02004038
17,0.0728722,-0.05470665,-0.02117804,-0.07651206,-0.02969793,-0.02969793,-0.02019848
18,0.0746735,-0.05481546,-0.0212141,-0.07660571,-0.03072463,-0.03072463,-0.02153182
19,0.0765813,-0.05484321,-0.02129726,-0.07662961,-0.03011817,-0.03011817,-0.02171443
20,0.0845247,-0.05508689,-0.02151702,-0.07680018,-0.02931843,-0.02931843,-0.02301063
21,0.0876094,-0.05528515,-0.02163552,-0.0768737,-0.02978972,-0.02978972,-0.02296586
22,0.0896944,-0.05531295,-0.0217184,-0.07689757,-0.02950559,-0.02950559,-0.02358312
23,0.0920898,-0.0554532,-0.02175379,-0.07696892,-0.03095726,-0.03095726,-0.01931241
24,0.0941437,-0.05559357,-0.02178903,-0.0770402,-0.03154857,-0.03154857,-0.02035123
25,0.0959748,-0.05562143,-0.02187175,-0.07706408,-0.03016643,-0.03016643,-0.02037566
26,0.0978163,-0.05576189,-0.02190681,-0.07713529,-0.02971943,-0.02971943,-0.02014408
27,0.0998419,-0.05587566,-0.02200693,-0.07718346,-0.03002898,-0.03002898,-0.02113985
28,0.1023167,-0.05601637,-0.02204177,-0.0772545,-0.03054864,-0.03054864,-0.02356217
29,0.1044588,-0.05615385,-0.02215898,-0.0773721,-0.03020394,-0.03020394,-0.02503213
30,0.106387,-0.05623991,-0.02217624,-0.07739623,-0.03071764,-0.03071764,-0.02640392
31,0.1106806,-0.0565499,-0.02232735,-0.07756194,-0.03157328,-0.03157328,-0.03074568
32,0.1153914,-0.05694685,-0.02249467,-0.07775114,-0.03265048,-0.03265048,-0.03362253
33,0.1183543,-0.0572299,-0.02256215,-0.07789228,-0.03195236,-0.03195236,-0.03429045
