Frame,Timestamp,unity_x,unity_y,unity_z,X(accel),Y(accel),Z(accel),Angles,loadcell(N),,
46,0.75,1.087528622,0.199624687,-0.848935729,1.749532578,-6.913549429,-1.445369844,39.56168845,-0.3974681,,
47,0.76667,1.080716127,0.209616347,-0.844999621,1.765769529,-6.910557212,-1.44992718,39.39046094,0.127894917,,
48,0.78333,1.084516112,0.21,-0.834658175,1.767424705,-6.870691486,-1.454298502,39.44873589,0.022822314,,
49,0.8,1.088739859,0.21,-0.82406096,1.790232482,-6.821845801,-1.446184646,38.93195249,0.338040123,,
50,0.81667,1.085900902,0.214795663,-0.825525564,1.797286727,-6.779358738,-1.450457926,38.90444747,0.303015922,,
51,0.83333,1.082767154,0.219791493,-0.827493618,1.799697647,-6.739958345,-1.460485276,39.05991777,0.443112726,,
52,0.85,1.091035939,0.22,-0.820757449,1.804877267,-6.712020786,-1.468682546,39.136279,0.688282132,,
53,0.86667,1.09980135,0.22,-0.813642177,1.788814644,-6.686516706,-1.472301794,39.45643014,0.58320953,,
54,0.88333,1.090884525,0.215221018,-0.818691586,1.794003787,-6.657820077,-1.475789434,39.44151261,0.618233731,,
55,0.9,1.081165365,0.210225188,-0.824292971,1.799007603,-6.636892326,-1.479152515,39.42720335,0.618233731,,
56,0.91667,1.083329441,0.214770642,-0.818401446,1.802506347,-6.615373745,-1.486447042,39.51088969,0.618233731,,
57,0.93333,1.086054439,0.219766472,-0.811967422,1.804577869,-6.588085739,-1.49216349,39.58655455,0.653257931,,
58,0.95,1.08276162,0.181901585,-0.819315212,1.779606107,-6.556601884,-1.49899022,40.10796238,-0.467516502,,
59,0.96667,1.079173705,0.141934946,-0.827338818,1.771886054,-6.524908612,-1.504307067,40.33080239,0.443112726,,
60,0.98333,1.08059906,0.178031693,-0.821460687,1.765661436,-6.505398642,-1.509449591,40.52686301,0.057846515,,
61,1,1.082279475,0.217998332,-0.814875275,1.770638147,-6.49626419,-1.508221427,40.42420431,0.723306333,,
62,1.01667,1.086764122,0.22,-0.818500139,1.775456867,-6.491016518,-1.502147201,40.233303,0.338040123,,
63,1.03333,1.091396618,0.22,-0.822663331,1.786045428,-6.482392238,-1.496262795,39.95465283,1.073548341,,
64,1.05,1.084702707,0.215262719,-0.82402722,1.803303399,-6.468223107,-1.487008393,39.50907521,0.898427337,,
65,1.06667,1.077390629,0.210266889,-0.82523833,1.830372237,-6.453338908,-1.476868676,38.89894713,1.03852414,,
66,1.08333,1.081470999,0.214728941,-0.815916799,1.840798118,-6.440026368,-1.473921745,38.68415474,0.793354735,,
67,1.1,1.086194329,0.219724771,-0.806000834,1.83865859,-6.43377003,-1.466535633,38.57627283,0.758330534,,
68,1.11667,1.078944499,0.224720601,-0.801520712,1.836581077,-6.435357779,-1.466054006,38.59867749,0.758330534,,
69,1.13333,1.070996588,0.22971643,-0.79735752,1.832397737,-6.436900163,-1.46558614,38.65347684,1.003499939,,
70,1.15,1.070973842,0.23,-0.777915182,1.820860826,-6.453292885,-1.459713176,38.71779194,1.108572542,,
71,1.16667,1.071428008,0.23,-0.75755339,1.820169588,-6.459788658,-1.460414977,38.7418514,1.073548341,,
72,1.18333,1.068119039,0.22529608,-0.764346046,1.81119247,-6.474384028,-1.458989619,38.85286522,1.178620943,,
73,1.2,1.064576541,0.22030025,-0.772823818,1.803482051,-6.49572992,-1.45032472,38.80555526,1.143596742,,
74,1.21667,1.067565168,0.21530442,-0.769633786,1.814164793,-6.516506588,-1.437787443,38.39802427,1.073548341,,
75,1.23333,1.070971416,0.21030859,-0.765697677,1.816589415,-6.530773388,-1.430641906,38.22194546,-0.047226088,,
76,1.25,1.068582531,0.214687239,-0.77276948,1.807140962,-6.546631513,-1.427678826,38.30946697,0.933451538,,
77,1.26667,1.065812116,0.219683069,-0.780566002,1.79016232,-6.557241174,-1.42183251,38.45828267,0.338040123,,
78,1.28333,1.076482902,0.22,-0.75440506,1.790880178,-6.565670015,-1.415160284,38.31592386,0.933451538,,
79,1.3,1.088064144,0.22,-0.725943968,1.80768365,-6.568223177,-1.410578351,37.96575934,0.618233731,,
80,1.31667,1.089837213,0.22,-0.723524781,1.81845878,-6.574443312,-1.408009295,37.75015897,1.03852414,,
81,1.33333,1.090927212,0.22,-0.722919226,1.812336147,-6.586038523,-1.405502898,37.79429286,0.933451538,,
82,1.35,1.096170824,0.224662219,-0.70719678,1.799056811,-6.607364699,-1.400275949,37.89501108,0.828378936,,
83,1.36667,1.101711654,0.229658048,-0.690392625,1.783387169,-6.618291913,-1.397005345,38.07315479,0.968475739,,
84,1.38333,1.096548563,0.239307756,-0.670485885,1.772543957,-6.619187187,-1.392906526,38.16109199,0.968475739,,
85,1.4,1.090598984,0.249299416,-0.650351176,1.757547013,-6.620061641,-1.390692319,38.35347336,1.03852414,,
86,1.41667,1.09275798,0.25,-0.645631208,1.755089545,-6.626125149,-1.388529014,38.34908075,1.248669344,,
87,1.43333,1.095528395,0.25,-0.642073571,1.759577152,-6.629475869,-1.382917623,38.16513237,1.178620943,,
