Frame,Time,Cursor Position X,Cursor Position Y,Cursor Position Z,Cursor Velocity X,Cursor Velocity Y,Cursor Velocity Z
62100,124.392,0,0,0,0,0,0
62101,124.392,-0.0983314,-0.04292969,-0.1718453,0,0,0
62102,124.412,-0.09845583,-0.0427258,-0.172015,0.004231251,0.004231251,-0.003211046
62103,124.4147,-0.09868073,-0.04233322,-0.1723218,0.01718739,0.01718739,-0.01380946
62104,124.4163,-0.09871174,-0.04227492,-0.172364,0.0187106,0.0187106,-0.01489384
62105,124.4181,-0.09884331,-0.04205644,-0.1725435,0.0237559,0.0237559,-0.01897151
62106,124.4196,-0.09887423,-0.04199801,-0.1725857,0.02410462,0.02410462,-0.01920929
62107,124.421,-0.09887423,-0.04199801,-0.1725857,0.02411343,0.02411343,-0.01920124
62108,124.4225,-0.09890515,-0.04193957,-0.1726279,0.06369914,0.06369914,-0.05392577
62109,124.424,-0.09893604,-0.04188108,-0.17267,0.06247986,0.06247986,-0.05301234
62110,124.4255,-0.09896694,-0.04182261,-0.1727121,0.0468951,0.0468951,-0.03378784
62111,124.4272,-0.09908455,-0.04170553,-0.1727643,0.05040307,0.05040307,-0.03739528
62112,124.4287,-0.09914622,-0.04158837,-0.1728483,0.05182343,0.05182343,-0.03718724
62113,124.4303,-0.09917703,-0.04152974,-0.1728904,0.05202001,0.05202001,-0.03729258
62114,124.4318,-0.09927628,-0.04147108,-0.1728931,0.0490138,0.0490138,-0.03398699
62115,124.434,-0.09933784,-0.04135376,-0.1729769,0.04969185,0.04969185,-0.03440372
62116,124.436,-0.09943841,-0.04129505,-0.1729787,0.04864601,0.04864601,-0.03268142
62117,124.4375,-0.09956979,-0.04117754,-0.1730222,0.04966889,0.04966889,-0.02314196
62118,124.4394,-0.09967044,-0.04111874,-0.1730238,0.05048527,0.05048527,-0.02284572
62119,124.4413,-0.09986334,-0.04088333,-0.1731504,0.05541449,0.05541449,-0.02449504
62120,124.4431,-0.09996402,-0.04082441,-0.1731517,0.05543733,0.05543733,-0.02446906
62121,124.4446,-0.1000254,-0.04070652,-0.1732349,0.05563598,0.05563598,-0.02456808
62122,124.4461,-0.100126,-0.04064754,-0.1732361,0.05565887,0.05565887,-0.02454205
62123,124.4475,-0.1001567,-0.04058856,-0.1732776,0.05570213,0.05570213,-0.02475812
62124,124.449,-0.100218,-0.04047045,-0.1733607,0.06094138,0.06094138,-0.02835815
62125,124.4504,-0.1002486,-0.04041137,-0.1734022,0.05974354,0.05974354,-0.02747116
62126,124.4519,-0.1004104,-0.04023398,-0.1734859,0.06162157,0.06162157,-0.02865277
62127,124.4532,-0.100441,-0.0401748,-0.1735273,0.06111832,0.06111832,-0.02971831
62128,124.4546,-0.1005722,-0.04005635,-0.1735694,0.06219359,0.06219359,-0.0300827
62129,124.4561,-0.1006027,-0.03999713,-0.1736107,0.0626689,0.0626689,-0.03036845
62130,124.4576,-0.1007645,-0.03981921,-0.1736937,0.06288763,0.06288763,-0.03047478
62131,124.459,-0.1008651,-0.0397599,-0.1736942,0.06335483,0.06335483,-0.03073093
62132,124.4605,-0.100926,-0.03964113,-0.1737765,0.06335445,0.06335445,-0.03010128
62133,124.4622,-0.1010267,-0.03958172,-0.1737768,0.06315897,0.06315897,-0.02991961
62134,124.4636,-0.1011882,-0.03940329,-0.1738591,0.06463297,0.06463297,-0.02988438
62135,124.4651,-0.1012186,-0.03934379,-0.1739001,0.06450076,0.06450076,-0.0293564
62136,124.4665,-0.101249,-0.03928426,-0.1739411,0.06524434,0.06524434,-0.02982114
62137,124.4679,-0.1013489,-0.03919989,-0.17394,0.06626033,0.06626033,-0.03018688
62138,124.4694,-0.1013793,-0.03914027,-0.173981,0.06656406,0.06656406,-0.03113866
62139,124.4708,-0.10144,-0.03902099,-0.1740627,0.06559373,0.06559373,-0.03056637
62140,124.4723,-0.1014322,-0.03900388,-0.1740521,0.06526892,0.06526892,-0.03029654
62141,124.4738,-0.1015631,-0.03888448,-0.1740927,0.06400386,0.06400386,-0.02972399
62142,124.4753,-0.1015934,-0.03882471,-0.1741334,0.0647132,0.0647132,-0.03159609
62143,124.4768,-0.1016539,-0.03870511,-0.1742149,0.06364312,0.06364312,-0.03077425
62144,124.4783,-0.1017156,-0.03868866,-0.1741622,0.06475951,0.06475951,-0.03162229
62145,124.4797,-0.1017458,-0.03862883,-0.1742028,0.06314135,0.06314135,-0.03104254
62146,124.4811,-0.101776,-0.03856896,-0.1742434,0.0626801,0.0626801,-0.03072941
62147,124.4827,-0.1019068,-0.03844914,-0.1742835,0.05503316,0.05503316,-0.02222965
62148,124.4842,-0.101937,-0.03838921,-0.174324,0.05364215,0.05364215,-0.02127108
62149,124.4857,-0.1020274,-0.03820929,-0.1744455,0.05479202,0.05479202,-0.0219184
62150,124.4871,-0.102128,-0.03814922,-0.1744447,0.0625885,0.0625885,-0.03151665
62151,124.4885,-0.1021581,-0.03808919,-0.1744851,0.06267257,0.06267257,-0.0317892
62152,124.49,-0.1021882,-0.0380291,-0.1745255,0.06135227,0.06135227,-0.03090115
62153,124.4915,-0.1022483,-0.03790888,-0.1746062,0.06135403,0.06135403,-0.03085947
62154,124.4928,-0.1023489,-0.03784873,-0.1746052,0.06168479,0.06168479,-0.03116401
62155,124.4942,-0.1023789,-0.03778857,-0.1746455,0.06069106,0.06069106,-0.03098172
62156,124.4957,-0.1025095,-0.03766814,-0.1746845,0.05852164,0.05852164,-0.02985583
62157,124.4971,-0.1025395,-0.03760791,-0.1747247,0.05870234,0.05870234,-0.02993599
62158,124.4985,-0.1025995,-0.03748736,-0.1748051,0.05808384,0.05808384,-0.02944273
62159,124.5,-0.1026294,-0.03742705,-0.1748452,0.05890249,0.05890249,-0.03020373
62160,124.5016,-0.1027599,-0.03730634,-0.1748839,0.05824892,0.05824892,-0.02987295
62161,124.5031,-0.1027898,-0.03724594,-0.1749239,0.05810323,0.05810323,-0.02973628
62162,124.5046,-0.1028496,-0.03712514,-0.175004,0.05747854,0.05747854,-0.02928228
62163,124.5059,-0.1029501,-0.03706469,-0.1750024,0.05853885,0.05853885,-0.02963015
62164,124.5073,-0.10298,-0.0370042,-0.1750423,0.05868652,0.05868652,-0.02966969
62165,124.5087,-0.1030397,-0.03688318,-0.1751222,0.05838047,0.05838047,-0.02938752
62166,124.5101,-0.1031402,-0.03682263,-0.1751204,0.05950202,0.05950202,-0.03021809
62167,124.5116,-0.1031998,-0.03670147,-0.1752,0.05938172,0.05938172,-0.02995978
62168,124.5131,-0.1032296,-0.03664084,-0.1752398,0.05993125,0.05993125,-0.03028029
62169,124.5145,-0.1032593,-0.0365802,-0.1752796,0.0597946,0.0597946,-0.03014139
62170,124.5161,-0.1034193,-0.03639814,-0.175357,0.06049268,0.06049268,-0.03063384
62171,124.5175,-0.1034787,-0.03627665,-0.1754363,0.06093047,0.06093047,-0.03079685
62172,124.519,-0.1035084,-0.03621589,-0.1754759,0.06099317,0.06099317,-0.03078014
62173,124.5204,-0.103538,-0.0361551,-0.1755155,0.06171788,0.06171788,-0.03121119
62174,124.522,-0.1035973,-0.03603342,-0.1755946,0.06239178,0.06239178,-0.03156628
62175,124.5234,-0.1036978,-0.03597254,-0.1755923,0.06241548,0.06241548,-0.03153975
62176,124.5249,-0.1037865,-0.03578977,-0.1757107,0.06479323,0.06479323,-0.03390314
62177,124.5262,-0.1038161,-0.03572881,-0.1757501,0.06490904,0.06490904,-0.033935
62178,124.5277,-0.1038751,-0.03560683,-0.1758289,0.06521559,0.06521559,-0.03458343
62179,124.529,-0.1039046,-0.0355458,-0.1758682,0.06532629,0.06532629,-0.0346118
62180,124.5305,-0.103934,-0.03548475,-0.1759076,0.06595749,0.06595749,-0.03497547
62181,124.5321,-0.1039929,-0.03536256,-0.1759861,0.06493407,0.06493407,-0.04176458
62182,124.5337,-0.1040811,-0.03517914,-0.1761038,0.06726786,0.06726786,-0.04313952
62183,124.5351,-0.1041105,-0.03511794,-0.176143,0.06673176,0.06673176,-0.04275408
62184,124.5365,-0.1041398,-0.03505671,-0.1761822,0.06833957,0.06833957,-0.04374157
62185,124.5379,-0.1041594,-0.03497773,-0.1762083,0.06691454,0.06691454,-0.04233684
62186,124.5393,-0.1041887,-0.03491646,-0.1762474,0.06766718,0.06766718,-0.0427781
62187,124.5409,-0.1042764,-0.03473248,-0.1763645,0.0676026,0.0676026,-0.04260971
62188,124.5426,-0.1043348,-0.03460968,-0.1764425,0.06873813,0.06873813,-0.04324631
62189,124.5441,-0.1043641,-0.03454828,-0.1764815,0.06790709,0.06790709,-0.04267602
62190,124.5455,-0.1043932,-0.03448683,-0.1765204,0.06908496,0.06908496,-0.04338026
62191,124.547,-0.1044515,-0.0343639,-0.1765982,0.06897137,0.06897137,-0.04363605
62192,124.5485,-0.1044806,-0.03430238,-0.176637,0.06808241,0.06808241,-0.0430316
62193,124.55,-0.1045678,-0.03411774,-0.1767534,0.06915955,0.06915955,-0.0435845
62194,124.5515,-0.1045969,-0.03405613,-0.1767922,0.06908519,0.06908519,-0.04349513
62195,124.5529,-0.1046549,-0.03393283,-0.1768697,0.06869064,0.06869064,-0.04316225
62196,124.5543,-0.1046839,-0.03387119,-0.1769084,0.06919891,0.06919891,-0.04343911
62197,124.5558,-0.1047418,-0.03374776,-0.1769857,0.06778834,0.06778834,-0.04247048
62198,124.5572,-0.1047317,-0.03372958,-0.1769722,0.06756419,0.06756419,-0.04228862
62199,124.5586,-0.1047895,-0.03360605,-0.1770494,0.06545801,0.06545801,-0.04026199
62200,124.5601,-0.1047895,-0.03360605,-0.1770494,0.06568111,0.06568111,-0.04036061
62201,124.5617,-0.1048473,-0.03348243,-0.1771265,0.06566133,0.06566133,-0.04026689
62202,124.5633,-0.1048761,-0.03342061,-0.177165,0.06439005,0.06439005,-0.03947501
62203,124.5647,-0.1049338,-0.03329682,-0.1772419,0.06281666,0.06281666,-0.03841715
62204,124.5661,-0.1050342,-0.03323492,-0.1772379,0.06376467,0.06376467,-0.03960225
62205,124.5676,-0.1050918,-0.03311104,-0.1773147,0.06394642,0.06394642,-0.038641
62206,124.569,-0.1051205,-0.03304905,-0.177353,0.06362478,0.06362478,-0.03840276
62207,124.5704,-0.1051493,-0.03298703,-0.1773914,0.06359461,0.06359461,-0.03834521
62208,124.5718,-0.1052067,-0.03286298,-0.1774679,0.06296987,0.06296987,-0.03788191
62209,124.5733,-0.1052354,-0.03280091,-0.1775062,0.06237978,0.06237978,-0.03747962
62210,124.5748,-0.1053644,-0.0326767,-0.1775401,0.06266842,0.06266842,-0.03687929
62211,124.5762,-0.1053644,-0.0326767,-0.1775401,0.06050514,0.06050514,-0.03551134
62212,124.5776,-0.1054503,-0.03249025,-0.1776545,0.06182909,0.06182909,-0.03624954
62213,124.579,-0.1054503,-0.03249025,-0.1776545,0.0612743,0.0612743,-0.03587182
62214,124.5804,-0.1055793,-0.0323658,-0.177688,0.05953453,0.05953453,-0.03420031
62215,124.5821,-0.1056079,-0.03230356,-0.1777261,0.05949313,0.05949313,-0.03031391
62216,124.5835,-0.105665,-0.032179,-0.1778021,0.05891972,0.05891972,-0.0298892
62217,124.585,-0.1056935,-0.03211668,-0.1778401,0.05800582,0.05800582,-0.02929503
62218,124.5863,-0.105722,-0.03205433,-0.177878,0.05802644,0.05802644,-0.02927115
62219,124.5878,-0.1058508,-0.03192961,-0.1779111,0.05887086,0.05887086,-0.02959727
62220,124.5892,-0.1058793,-0.03186722,-0.177949,0.05930676,0.05930676,-0.02982499
62221,124.5907,-0.1059362,-0.03174232,-0.1780246,0.05904522,0.05904522,-0.02962924
62222,124.5921,-0.1060366,-0.03167987,-0.1780195,0.05994932,0.05994932,-0.02952427
62223,124.5936,-0.1060934,-0.03155486,-0.178095,0.05881579,0.05881579,-0.02874899
62224,124.5951,-0.1060934,-0.03155486,-0.178095,0.05990169,0.05990169,-0.02936724
62225,124.5965,-0.1061217,-0.03149235,-0.1781327,0.05930606,0.05930606,-0.02900791
62226,124.5979,-0.1062788,-0.03130463,-0.1782028,0.0587197,0.0587197,-0.02854581
62227,124.5994,-0.1062788,-0.03130463,-0.1782028,0.05948472,0.05948472,-0.02891659
