Frame,Time,Cursor Position X,Cursor Position Y,Cursor Position Z,Cursor Velocity X,Cursor Velocity Y,Cursor Velocity Z
1,0,0,0,0,0,0,0
2,0.02,-0.0532824,-0.07190681,-0.1471838,0.04812699,0.04812699,-0.06206464
3,0.0527201,-0.05733495,-0.07065496,-0.1484147,0.03868468,0.03868468,-0.0353368
4,0.0657834,-0.0587262,-0.07025379,-0.1486749,0.0335222,0.0335222,-0.02378189
5,0.081084,-0.06041816,-0.06983179,-0.1487904,0.02759767,0.02759767,-0.009720465
6,0.0997449,-0.06272468,-0.06932521,-0.1487727,0.02773675,0.02773675,0.0002387695
7,0.1110976,-0.06449215,-0.06879747,-0.1489448,0.03361376,0.03361376,-0.002683156
8,0.1264809,-0.06675589,-0.0678826,-0.1495114,0.05498357,0.05498357,-0.026134
9,0.1393926,-0.06879519,-0.06685734,-0.1502825,0.07203185,0.07203185,-0.04794664
10,0.1537298,-0.07118747,-0.06558466,-0.1513046,0.08285977,0.08285977,-0.0613122
11,0.1689419,-0.07496122,-0.06293973,-0.1536107,0.1899267,0.1899267,-0.161391
12,0.1815335,-0.07807655,-0.06084205,-0.1551619,0.1801465,0.1801465,-0.1369928
13,0.1998845,-0.08443957,-0.05643605,-0.1581444,0.2333244,0.2333244,-0.1449988
14,0.215619,-0.09007069,-0.05236267,-0.1604801,0.2680299,0.2680299,-0.1476713
15,0.2408528,-0.09887067,-0.04518689,-0.1638925,0.2976932,0.2976932,-0.1344415
16,0.2528843,-0.1022138,-0.04163271,-0.1655266,0.2991967,0.2991967,-0.125683
17,0.268451,-0.1060307,-0.03714342,-0.1672809,0.2876657,0.2876657,-0.102807
18,0.2963677,-0.1113172,-0.03068168,-0.1693027,0.2212605,0.2212605,-0.0578508
19,0.3096911,-0.1134473,-0.02828194,-0.1698159,0.178796,0.178796,-0.03599419
20,0.3173321,-0.1143689,-0.02723582,-0.1700175,0.1570787,0.1570787,-0.02735731
21,0.3226299,-0.1150824,-0.0265137,-0.1700952,0.1447347,0.1447347,-0.02127848
22,0.3278938,-0.1156713,-0.02592111,-0.1701504,0.1275646,0.1275646,-0.01269207
23,0.3327249,-0.1161092,-0.02552521,-0.170154,0.1105348,0.1105348,-0.00451563
24,0.3412405,-0.1171358,-0.02486384,-0.1699511,0.08615964,0.08615964,0.008723399
25,0.3466164,-0.1176288,-0.02466506,-0.1697603,0.06576823,0.06576823,0.02252696
26,0.3518078,-0.1182583,-0.02446608,-0.1694725,0.0485908,0.0485908,0.0344688
27,0.3572178,-0.1187643,-0.02439974,-0.1691683,0.03542149,0.03542149,0.04389742
28,0.3627079,-0.1193378,-0.02433336,-0.1688144,0.02338765,0.02338765,0.05171569
29,0.3681468,-0.1198148,-0.02433336,-0.1684762,0,0,0.06285401
30,0.3770423,-0.120269,-0.02441213,-0.1679876,-0.0009497885,-0.0009497885,0.05863268
31,0.3820926,-0.1204953,-0.02445152,-0.1677428,-0.001358903,-0.001358903,0.04926438
32,0.3875415,-0.1207487,-0.02442451,-0.1675282,-0.003051959,-0.003051959,0.04876167
33,0.3925832,-0.1209792,-0.02435809,-0.1674123,-0.002706459,-0.002706459,0.04718079
34,0.3975705,-0.1212646,-0.02415879,-0.1673569,0.007360727,0.007360727,0.03421198
35,0.4026506,-0.12174,-0.02382624,-0.167263,0.03818008,0.03818008,0.01865499
36,0.4128166,-0.1227304,-0.02302276,-0.1672379,0.06585956,0.06585956,0.009832136
37,0.4182577,-0.1234854,-0.022476,-0.1671972,0.09091593,0.09091593,0.005829431
38,0.4238277,-0.1243434,-0.02176648,-0.1671408,0.1127932,0.1127932,0.001267867
39,0.4292472,-0.1252405,-0.02112234,-0.1669986,0.1253131,0.1253131,0.01058925
40,0.4344546,-0.1261634,-0.02040923,-0.1668788,0.1306235,0.1306235,0.02351007
41,0.439497,-0.1271327,-0.01966637,-0.1666803,0.1387262,0.1387262,0.02848728
42,0.4533454,-0.1300582,-0.01779766,-0.1657048,0.135758,0.135758,0.06071883
43,0.4588339,-0.1311718,-0.01709738,-0.1651478,0.1331675,0.1331675,0.07183129
44,0.4640383,-0.1321407,-0.01649272,-0.1646806,0.1213659,0.1213659,0.08993481
45,0.4694956,-0.1330582,-0.01592597,-0.1641582,0.1198151,0.1198151,0.09528702
