Frame,Time,Cursor Position X,Cursor Position Y,Cursor Position Z,Cursor Velocity X,Cursor Velocity Y,Cursor Velocity Z
1,0,0,0,0,0,0,0
2,0.02,0.02381141,0.2098013,0.003177031,-8.755624E-05,-8.755624E-05,0.000228581
3,0.0455429,0.02384642,0.2097481,0.003303192,-0.002118435,-0.002118435,0.005275109
4,0.0564799,0.02386693,0.2097198,0.003354301,-0.002553817,-0.002553817,0.004585052
5,0.0671002,0.02388752,0.209689,0.00342002,-0.002777041,-0.002777041,0.006790278
6,0.0724235,0.02389333,0.2096797,0.003442789,-0.002716728,-0.002716728,0.006616297
7,0.0839685,0.02390369,0.209663,0.003483408,-0.001944363,-0.001944363,0.004712181
8,0.0899438,0.02390959,0.2096535,0.00350651,-0.001736833,-0.001736833,0.00420754
9,0.0948137,0.02390845,0.2096535,0.003514236,-0.001559746,-0.001559746,0.003773356
10,0.1018885,0.0239086,0.2096486,0.003545015,-0.001163432,-0.001163432,0.00325873
11,0.1068979,0.0239086,0.2096486,0.003545015,0,0,0.002377114
12,0.1116595,0.02390877,0.2096461,0.003560982,-0.0003249916,-0.0003249916,0.002838907
13,0.1175268,0.02391022,0.2096436,0.003566694,-0.0002753801,-0.0002753801,0.0006445152
14,0.1222362,0.02391158,0.2096415,0.003572093,-0.0002402863,-0.0002402863,0.0005959285
15,0.1274138,0.023913,0.2096391,0.003577668,-0.0002215406,-0.0002215406,0.0005177581
16,0.133269,0.02391882,0.2096295,0.003600645,-0.0004523123,-0.0004523123,0.001085546
17,0.1380562,0.02392586,0.2096223,0.003600949,-0.0006200997,-0.0006200997,0.001484745
18,0.1429579,0.02393917,0.2096076,0.00360704,-0.001672562,-0.001672562,0.003134305
19,0.150011,0.02396118,0.2095834,0.00361598,-0.002480642,-0.002480642,0.0005265527
20,0.1545629,0.02397759,0.2095637,0.003633379,-0.00327283,-0.00327283,0.001931655
21,0.1590981,0.02399838,0.2095391,0.003651974,-0.004125222,-0.004125222,0.00248712
22,0.1651024,0.02402836,0.2095044,0.003674269,-0.005005248,-0.005005248,0.003455304
23,0.1699342,0.02405701,0.209472,0.003690466,-0.005514648,-0.005514648,0.003782544
24,0.1748911,0.02408754,0.2094341,0.003728085,-0.006508816,-0.006508816,0.005120393
25,0.1804445,0.02413042,0.2093831,0.003764151,-0.007583771,-0.007583771,0.006478651
26,0.1850994,0.02415982,0.2093472,0.003795181,-0.008269569,-0.008269569,0.007354514
27,0.1896802,0.02420022,0.2092954,0.003849728,-0.009114247,-0.009114247,0.008306962
28,0.1945635,0.02423641,0.2092506,0.003887587,-0.009590748,-0.009590748,0.008666433
29,0.2002648,0.02428868,0.2091842,0.003950201,-0.01050131,-0.01050131,0.009620099
30,0.2053056,0.02433513,0.2091248,0.004005388,-0.01093401,-0.01093401,0.009719381
31,0.2104581,0.0243836,0.2090649,0.004050031,-0.0114158,-0.0114158,0.01002195
32,0.2155951,0.0244307,0.2090016,0.004118952,-0.0119009,-0.0119009,0.01046088
33,0.220715,0.02449157,0.2089231,0.004185857,-0.01272974,-0.01272974,0.01122283
34,0.2258607,0.02454475,0.2088521,0.004255274,-0.01297868,-0.01297868,0.01129854
35,0.2330446,0.02461673,0.2087543,0.004353228,-0.01383577,-0.01383577,0.01249275
36,0.2378444,0.0246691,0.2086841,0.004414909,-0.01406208,-0.01406208,0.01265863
37,0.2493191,0.02480246,0.2084925,0.004623999,-0.01524312,-0.01524312,0.01419418
38,0.2653652,0.02490286,0.2083449,0.004782625,-0.01628794,-0.01628794,0.01595757
39,0.2714544,0.02504287,0.2081334,0.005009386,-0.01735329,-0.01735329,0.01705819
40,0.2762829,0.02510311,0.2080429,0.005096947,-0.01774445,-0.01774445,0.0175019
41,0.283502,0.02519551,0.2078988,0.005247341,-0.0180631,-0.0180631,0.01775887
42,0.2885717,0.02523983,0.2078257,0.00533196,-0.01827045,-0.01827045,0.0179386
43,0.2933921,0.02529902,0.2077316,0.005426922,-0.01867533,-0.01867533,0.01848959
44,0.2988528,0.02537112,0.2076159,0.00554191,-0.01905919,-0.01905919,0.01856609
45,0.3038921,0.02543615,0.2075087,0.005650522,-0.01968568,-0.01968568,0.01908597
46,0.324369,0.02570875,0.207057,0.006068093,-0.0227199,-0.0227199,0.02029908
47,0.329562,0.02578094,0.2069362,0.006170385,-0.02327174,-0.02327174,0.02031283
48,0.3348693,0.02585004,0.2068211,0.006261726,-0.0236326,-0.0236326,0.01994971
49,0.3397765,0.02592205,0.2067047,0.006341619,-0.02384148,-0.02384148,0.0189823
50,0.3447205,0.02599169,0.2065872,0.006430421,-0.02376364,-0.02376364,0.01836517
51,0.3504609,0.02607387,0.206453,0.006516403,-0.02387038,-0.02387038,0.01713706
52,0.3553209,0.02614242,0.2063366,0.006598027,-0.02371584,-0.02371584,0.01602765
53,0.3602022,0.0262122,0.2062228,0.006663288,-0.02355981,-0.02355981,0.01503972
54,0.365759,0.02628126,0.2061163,0.006706811,-0.02332336,-0.02332336,0.0138526
55,0.3705504,0.02635333,0.2059963,0.006774414,-0.02333213,-0.02333213,0.01314819
56,0.3761344,0.02642483,0.2058833,0.006820631,-0.02347579,-0.02347579,0.01222253
57,0.381563,0.02651638,0.2057367,0.006881404,-0.0235466,-0.0235466,0.01063351
58,0.3863313,0.02659304,0.2056173,0.006918722,-0.0240759,-0.0240759,0.009046453
59,0.3912537,0.02665833,0.2055176,0.00694286,-0.0244226,-0.0244226,0.008184247
60,0.3959209,0.02674188,0.205388,0.006975918,-0.02487183,-0.02487183,0.006545358
61,0.4005482,0.02682407,0.2052613,0.007003234,-0.02540012,-0.02540012,0.006338103
62,0.4057081,0.02691476,0.2051205,0.00703149,-0.02650109,-0.02650109,0.005944923
63,0.4108584,0.02700297,0.2049783,0.007068992,-0.02717351,-0.02717351,0.00494219
64,0.4158872,0.02709891,0.2048306,0.007087028,-0.02821122,-0.02821122,0.004964955
65,0.4212673,0.02721551,0.2046463,0.007115703,-0.02940596,-0.02940596,0.004507774
66,0.4266995,0.02731099,0.2044911,0.007144586,-0.03019593,-0.03019593,0.004229242
67,0.4315878,0.02741451,0.2043295,0.007153932,-0.03122526,-0.03122526,0.003707625
68,0.438251,0.02753869,0.2041303,0.007171963,-0.03237121,-0.03237121,0.003204937
69,0.443199,0.02766314,0.2039289,0.00718661,-0.03313312,-0.03313312,0.002069319
70,0.4482112,0.02774926,0.2037857,0.007201183,-0.03387777,-0.03387777,0.002133281
71,0.4538286,0.02788079,0.2035708,0.007207159,-0.0351142,-0.0351142,0.001815661
72,0.4587126,0.02799355,0.203387,0.007204104,-0.03600096,-0.03600096,0.001224082
73,0.4633996,0.02810542,0.2031966,0.007213787,-0.03681789,-0.03681789,0.0007608628
74,0.4682532,0.02819661,0.2030431,0.00721258,-0.0373951,-0.0373951,-2.404148E-05
75,0.4729524,0.02831313,0.202845,0.007209382,-0.03809918,-0.03809918,-0.0005081493
76,0.4782089,0.02842681,0.2026444,0.007215008,-0.03917544,-0.03917544,-0.0006504933
77,0.4831366,0.02857029,0.202393,0.007208001,-0.04015931,-0.04015931,-0.001585734
78,0.4884312,0.02869008,0.2021789,0.007202392,-0.04130273,-0.04130273,-0.001590135
79,0.4937179,0.02880971,0.2019626,0.007193686,-0.04247501,-0.04247501,-0.001977836
80,0.4988517,0.0289309,0.2017393,0.007185272,-0.0434943,-0.0434943,-0.002336799
81,0.5035922,0.02905158,0.2015145,0.007173178,-0.04418017,-0.04418017,-0.00304044
82,0.509164,0.02917203,0.2012872,0.007158081,-0.04483309,-0.04483309,-0.003814179
83,0.5146313,0.029315,0.2010163,0.00713033,-0.04586376,-0.04586376,-0.004453249
84,0.519471,0.02943605,0.2007799,0.007110875,-0.04631763,-0.04631763,-0.005173205
85,0.5247065,0.02955642,0.2005418,0.00708779,-0.04718563,-0.04718563,-0.005807086
86,0.5299728,0.02967971,0.2002907,0.00706752,-0.04806156,-0.04806156,-0.005877298
87,0.5350088,0.02979746,0.2000433,0.007052191,-0.04858601,-0.04858601,-0.006199393
88,0.539832,0.02991451,0.1997939,0.007033493,-0.04960273,-0.04960273,-0.005326386
89,0.5450977,0.03005234,0.1994821,0.007030976,-0.05057389,-0.05057389,-0.004476017
90,0.5513817,0.03018587,0.1991675,0.007035302,-0.05125441,-0.05125441,-0.003116816
91,0.5561753,0.03027217,0.198956,0.007043502,-0.05197323,-0.05197323,-0.002175553
92,0.5613125,0.03039853,0.1986427,0.00704868,-0.05287496,-0.05287496,-0.000311879
93,0.5664554,0.03050637,0.1983662,0.007055382,-0.05341691,-0.05341691,-8.566959E-05
94,0.5712142,0.03058531,0.1981563,0.007064667,-0.05392413,-0.05392413,0.0001444876
95,0.5761525,0.03068645,0.1978823,0.007074777,-0.05437353,-0.05437353,0.0009611814
96,0.5811488,0.03080422,0.1975491,0.007092934,-0.05492293,-0.05492293,0.0008384591
97,0.5861161,0.03087737,0.1973347,0.007106866,-0.05517483,-0.05517483,0.0008605844
98,0.5913679,0.03099033,0.196992,0.007131535,-0.05574207,-0.05574207,0.0007104169
99,0.5962869,0.03108844,0.1966991,0.007131428,-0.05643045,-0.05643045,0.0005151194
100,0.6009211,0.03115945,0.1964634,0.007156407,-0.05718818,-0.05718818,0.0003979702
101,0.6060867,0.03125298,0.1961616,0.0071642,-0.05917855,-0.05917855,0.0007220461
102,0.6114296,0.03136617,0.1957746,0.007183825,-0.06215681,-0.06215681,0.001352915
103,0.6187591,0.03149939,0.1952891,0.007215064,-0.06617287,-0.06617287,0.001783462
104,0.6267301,0.03164738,0.194714,0.007249141,-0.07053867,-0.07053867,0.002069475
105,0.6341358,0.03177875,0.1941711,0.007273219,-0.07498796,-0.07498796,0.002312195
106,0.6422437,0.03194632,0.1934019,0.007314104,-0.08385541,-0.08385541,0.002556793
107,0.6488996,0.03205249,0.1928312,0.007366097,-0.0938658,-0.0938658,0.004498382
108,0.6559751,-0.150159,0.1185167,-0.2576033,-0.1187226,-0.1187226,0.008058289
109,0.6641355,-0.1550325,0.1349305,-0.2580495,1.845544,1.845544,-0.001227878
110,0.6724638,-0.1548038,0.1426824,-0.2576792,1.078342,1.078342,0.1466612
111,0.6788376,-0.1537847,0.1426465,-0.2567017,0.08996861,0.08996861,0.09301303
112,0.6860117,-0.1563067,0.1476767,-0.25361,0.5499999,0.5499999,0.3987528
113,0.6924572,-0.1553035,0.149828,-0.252996,0.4256583,0.4256583,0.1693522
114,0.7003973,-0.1552231,0.1531834,-0.2519122,0.4102071,0.4102071,0.1362404
115,0.7066629,-0.1558184,0.1556821,-0.2511103,0.4104396,0.4104396,0.1467984
116,0.7114859,-0.1556432,0.1570015,-0.2510318,0.2603121,0.2603121,0.06887883
117,0.7222392,-0.1571312,0.1589447,-0.2504833,0.1587542,0.1587542,0.06387701
118,0.7316046,-0.1581119,0.1597318,-0.2508064,0.1107156,0.1107156,-0.01912521
119,0.7405852,-0.1602871,0.1597868,-0.2507201,0.008637017,0.008637017,0.007656315
120,0.752754,-0.1627731,0.1591782,-0.2510195,-0.0699771,-0.0699771,-0.0105714
121,0.7577736,-0.1640059,0.1588817,-0.2510437,-0.05692672,-0.05692672,-0.004734642
122,0.7623339,-0.1648222,0.1585237,-0.2511146,-0.05530492,-0.05530492,-0.003975814
123,0.7672736,-0.1657331,0.158384,-0.2513046,-0.0418153,-0.0418153,-0.004170006
124,0.7718394,-0.1668024,0.158173,-0.2512976,-0.03911,-0.03911,0.00197126
125,0.7762099,-0.1675888,0.1581303,-0.2513182,-0.03058995,-0.03058995,0.009027436
126,0.7808227,-0.1685043,0.1580052,-0.2513028,-0.02677261,-0.02677261,0.01008889
127,0.785545,-0.1690266,0.157815,-0.2513756,-0.0308818,-0.0308818,0.01088738
128,0.7898874,-0.1698618,0.1577018,-0.251252,-0.03006761,-0.03006761,0.01776293
129,0.7944225,-0.1704079,0.1576017,-0.2511541,-0.01448732,-0.01448732,0.02693884
130,0.7987126,-0.1706497,0.1574384,-0.2510653,0.01065892,0.01065892,0.03441985
131,0.8029459,-0.1709212,0.1574434,-0.2508172,-0.01935937,-0.01935937,0.05144494
