Frame,Time,Cursor Position X,Cursor Position Y,Cursor Position Z,Cursor Velocity X,Cursor Velocity Y,Cursor Velocity Z
1,0,0,0,0,0,0,0
2,0.02,-0.1436557,0.04234101,-0.0660203,-0.08899001,-0.08899001,0.07933822
3,0.0388042,-0.139273,0.0406757,-0.06466471,-0.08879978,-0.08879978,0.07139584
4,0.0459125,-0.1378736,0.0402045,-0.06424872,-0.08306643,-0.08306643,0.06379463
5,0.0515025,-0.1367984,0.03976975,-0.06398075,-0.07233297,-0.07233297,0.05697294
6,0.0543504,-0.1363544,0.03967036,-0.06391027,-0.06719048,-0.06719048,0.05217921
7,0.0565522,-0.1360743,0.03958067,-0.06382678,-0.06484176,-0.06484176,0.04868948
8,0.0689199,-0.1345972,0.03899252,-0.06338651,-0.04974601,-0.04974601,0.03942341
9,0.0719579,-0.1343169,0.03890629,-0.06330297,-0.04802446,-0.04802446,0.03568722
10,0.0750385,-0.1339636,0.03874519,-0.06319768,-0.04941333,-0.04941333,0.03545381
11,0.0773813,-0.1336795,0.03858808,-0.06311298,-0.04692198,-0.04692198,0.03439315
12,0.0825869,-0.1331798,0.03827852,-0.06296404,-0.04691963,-0.04691963,0.03233046
13,0.0852425,-0.1329683,0.0381979,-0.06290103,-0.04771887,-0.04771887,0.0321336
14,0.0873564,-0.1326795,0.03797077,-0.06281494,-0.05419015,-0.05419015,0.03141881
15,0.090096,-0.1324637,0.03781883,-0.06275062,-0.05543006,-0.05543006,0.03139712
16,0.0923652,-0.1321946,0.03759277,-0.06262156,-0.06103583,-0.06103583,0.03072325
17,0.0984577,-0.1316349,0.03707042,-0.06239541,-0.07272617,-0.07272617,0.03208801
18,0.1005431,-0.1314386,0.03684817,-0.0622766,-0.0748858,-0.0748858,0.03292568
19,0.1027876,-0.1312468,0.03669831,-0.0621592,-0.08004561,-0.08004561,0.0445739
20,0.1048775,-0.1310248,0.03647678,-0.0620934,-0.08500925,-0.08500925,0.04477689
21,0.1070181,-0.1308275,0.0362556,-0.06197463,-0.08729061,-0.08729061,0.04464437
22,0.1131976,-0.1302137,0.03566617,-0.06167302,-0.09779064,-0.09779064,0.04593145
23,0.115897,-0.1299349,0.03530131,-0.06153094,-0.09730406,-0.09730406,0.04591957
24,0.1185456,-0.1296607,0.03500904,-0.06139043,-0.1019626,-0.1019626,0.04630325
25,0.1207658,-0.1294609,0.03479028,-0.06127206,-0.1008774,-0.1008774,0.04678989
26,0.1234119,-0.1292548,0.03449994,-0.06115204,-0.1008613,-0.1008613,0.04673805
27,0.1261845,-0.1291233,0.03428259,-0.06105408,-0.1003252,-0.1003252,0.04648152
28,0.1318039,-0.1287837,0.03377599,-0.06083615,-0.09898488,-0.09898488,0.04408431
29,0.1339469,-0.1286327,0.03363118,-0.06079205,-0.09549528,-0.09549528,0.04229943
30,0.1359728,-0.1285061,0.03348652,-0.06069598,-0.0894748,-0.0894748,0.04030957
31,0.1395534,-0.1283664,0.03319821,-0.06059625,-0.08875825,-0.08875825,0.04007078
32,0.1415057,-0.1282393,0.0330539,-0.06050029,-0.08072681,-0.08072681,0.03557641
33,0.1476297,-0.1280675,0.03269412,-0.06045037,-0.07479993,-0.07479993,0.03462771
34,0.1497062,-0.1279847,0.03255019,-0.06042631,-0.07347799,-0.07347799,0.01396564
35,0.1516523,-0.1279712,0.03240639,-0.06042237,-0.0679041,-0.0679041,0.01383284
36,0.1536197,-0.127895,0.03233445,-0.06040021,-0.06556198,-0.06556198,0.009626296
37,0.155778,-0.1278812,0.03219068,-0.06039622,-0.0638655,-0.0638655,0.009589257
38,0.1612805,-0.1278604,0.03197499,-0.06039016,-0.05464255,-0.05464255,0.00153929
39,0.164878,-0.1278463,0.03183118,-0.06038607,-0.05354107,-0.05354107,0.001521487
40,0.167116,-0.1278393,0.03175928,-0.06038402,-0.0474133,-0.0474133,0.001353209
41,0.1693362,-0.1278321,0.03168735,-0.06038194,-0.04707975,-0.04707975,0.001355326
42,0.1716255,-0.127825,0.03161547,-0.06037987,-0.04110376,-0.04110376,0.00118329
43,0.1737845,-0.1278734,0.03154352,-0.06039393,-0.04094468,-0.04094468,0.002029443
44,0.1758523,-0.1279342,0.03147164,-0.06041162,-0.04066448,-0.04066448,0.001179127
45,0.1802873,-0.128128,0.03132796,-0.06046794,-0.03880814,-0.03880814,-0.001835378
46,0.182726,-0.1281974,0.03132811,-0.06048813,-0.03674163,-0.03674163,-0.008752176
47,0.184595,-0.1282597,0.03125632,-0.06050622,-0.03270745,-0.03270745,-0.009570527
