Frame,Time,Cursor Position X,Cursor Position Y,Cursor Position Z,Cursor Velocity X,Cursor Velocity Y,Cursor Velocity Z
1,0,0,0,0,0,0,0
2,0.02,0.03288342,0.1924358,0.002292428,0.002310844,0.002310844,-0.02270668
3,0.0370637,0.03290782,0.1924665,0.001808275,0.001918713,0.001918713,-0.02787737
4,0.0484397,0.0329238,0.192473,0.001461247,0.001362415,0.001362415,-0.03061001
5,0.0557223,0.03292973,0.1924916,0.001231766,0.001532116,0.001532116,-0.03228426
6,0.0667941,0.03293579,0.1925293,0.0008126398,0.002488513,0.002488513,-0.03320879
7,0.0720467,0.0329344,0.1925537,0.0006753291,0.003129612,0.003129612,-0.03369303
8,0.0769005,0.03293061,0.1925912,0.000495809,0.00439228,0.00439228,-0.03443696
9,0.0814897,0.03292568,0.1926287,0.0003295949,0.006299294,0.006299294,-0.0347142
10,0.0900911,0.03290849,0.1927283,6.243161E-06,0.008636749,0.008636749,-0.03512827
11,0.0951632,0.032896,0.1927912,-0.000164407,0.01010575,0.01010575,-0.03515504
12,0.0998761,0.03288434,0.1928471,-0.0002938535,0.011947,0.011947,-0.03536177
13,0.1080371,0.03285177,0.19299,-0.0006116811,0.01443015,0.01443015,-0.03528547
14,0.1132669,0.03283067,0.1930767,-0.0007866026,0.01583234,0.01583234,-0.03530546
15,0.1191158,0.0328019,0.1931886,-0.001005942,0.01673963,0.01673963,-0.03519815
16,0.1264814,0.03276497,0.1933248,-0.001256359,0.01779183,0.01779183,-0.03534792
17,0.1320438,0.03273679,0.1934237,-0.001433661,0.01890732,0.01890732,-0.0353783
18,0.1394187,0.03268703,0.1935909,-0.001716593,0.01962844,0.01962844,-0.03528849
19,0.1447748,0.03264606,0.1937199,-0.001939454,0.02013307,0.02013307,-0.03558739
20,0.150307,0.03260989,0.1938312,-0.002119332,0.02073722,0.02073722,-0.03566787
21,0.1581492,0.03254629,0.1940211,-0.002406995,0.0223426,0.0223426,-0.03585345
22,0.1625874,0.03251216,0.1941256,-0.002533153,0.02307689,0.02307689,-0.03592635
23,0.168295,0.0324581,0.1942786,-0.002748061,0.02437821,0.02437821,-0.03627163
24,0.175201,0.0323898,0.1944678,-0.002996799,0.02568134,0.02568134,-0.03582197
25,0.18064,0.03233497,0.1946198,-0.003172604,0.02681615,0.02681615,-0.03524887
26,0.1859987,0.03228139,0.194766,-0.003334309,0.02842751,0.02842751,-0.03461785
27,0.1931568,0.03218613,0.1950261,-0.003586335,0.03067465,0.03067465,-0.03371032
28,0.1989834,0.03211959,0.1952013,-0.003755287,0.03210622,0.03210622,-0.03326587
29,0.2060798,0.03200939,0.1954907,-0.004002616,0.03452891,0.03452891,-0.03296332
30,0.211873,0.03193387,0.1956826,-0.004163778,0.03615554,0.03615554,-0.0328915
31,0.2164846,0.03185271,0.1958852,-0.004328026,0.0371624,0.0371624,-0.03269383
32,0.2210235,0.03176941,0.1960869,-0.004492717,0.03859745,0.03859745,-0.03266216
33,0.2258094,0.03170121,0.1962541,-0.004611067,0.03913687,0.03913687,-0.03237015
34,0.2367857,0.0315451,0.1966193,-0.004882752,0.04146408,0.04146408,-0.03213222
35,0.2522056,0.03129068,0.1971872,-0.005287614,0.04354879,0.04354879,-0.0323097
36,0.2579751,0.03104896,0.1976957,-0.005643931,0.0451814,0.0451814,-0.03262085
37,0.2625379,0.03093146,0.1979368,-0.005801415,0.04513921,0.04513921,-0.03229075
38,0.2673136,0.03083364,0.1981306,-0.005933592,0.04608235,0.04608235,-0.03255881
39,0.2726962,0.03068602,0.1984143,-0.006131032,0.04652479,0.04652479,-0.03249338
40,0.2775206,0.03058088,0.1986172,-0.00625562,0.04699178,0.04699178,-0.03245132
41,0.2822929,0.03045521,0.198853,-0.006403922,0.04686829,0.04686829,-0.03230415
42,0.2871622,0.03032713,0.1990868,-0.006552916,0.04700885,0.04700885,-0.03195331
43,0.2918001,0.03018812,0.1993303,-0.006718605,0.04736833,0.04736833,-0.03193641
44,0.2966983,0.03005147,0.199567,-0.006871248,0.04707148,0.04707148,-0.03171464
45,0.3185639,0.02942661,0.200581,-0.007532491,0.04622003,0.04622003,-0.03133898
46,0.3234681,0.02927854,0.2008087,-0.00767738,0.04573168,0.04573168,-0.03117321
47,0.3282296,0.02912813,0.201029,-0.007832651,0.04540652,0.04540652,-0.03127516
48,0.3330381,0.02900371,0.2012065,-0.007960641,0.04500361,0.04500361,-0.03108566
49,0.3381884,0.02884197,0.2014343,-0.008121167,0.04459601,0.04459601,-0.03131184
50,0.3429218,0.02864462,0.2017056,-0.00831247,0.04417337,0.04417337,-0.03159017
51,0.3479927,0.02851369,0.2018788,-0.008441862,0.04401955,0.04401955,-0.0317803
52,0.3530014,0.0283404,0.2021057,-0.008606225,0.04410536,0.04410536,-0.03223627
53,0.3576747,0.0281608,0.2023354,-0.008773318,0.04415232,0.04415232,-0.03282595
54,0.3627166,0.02797062,0.2025685,-0.008954806,0.04516271,0.04516271,-0.03367262
55,0.3683416,0.02773842,0.2028517,-0.009160521,0.04491808,0.04491808,-0.03424528
56,0.3730792,0.02758578,0.2030307,-0.009298296,0.04476741,0.04476741,-0.03452621
57,0.3781054,0.02737907,0.2032655,-0.009485522,0.045027,0.045027,-0.03529459
58,0.3828566,0.02716908,0.2034975,-0.009673122,0.04504098,0.04504098,-0.03573624
59,0.3879859,0.02695589,0.2037269,-0.009861019,0.04524746,0.04524746,-0.03628292
60,0.3925367,0.0267317,0.2039625,-0.01005383,0.04522319,0.04522319,-0.03694682
61,0.3972694,0.02651151,0.2041912,-0.01023429,0.04508056,0.04508056,-0.03725924
62,0.4022832,0.02628846,0.2044119,-0.01042316,0.04474347,0.04474347,-0.03744816
63,0.4071258,0.02610659,0.2045905,-0.01057022,0.04439816,0.04439816,-0.03763909
64,0.4120621,0.0258738,0.2048148,-0.01075386,0.04364684,0.04364684,-0.0373746
65,0.4167232,0.02565415,0.2050188,-0.0109284,0.04296183,0.04296183,-0.03719876
66,0.4215649,0.02543178,0.2052201,-0.01110311,0.04164959,0.04164959,-0.03673878
67,0.4271447,0.0252064,0.2054188,-0.01127814,0.04046506,0.04046506,-0.03620451
68,0.4317956,0.02498302,0.2056101,-0.01145059,0.03906022,0.03906022,-0.03554326
69,0.4368197,0.02475629,0.2057949,-0.01163089,0.03771278,0.03771278,-0.03495254
70,0.44153,0.02454033,0.2059691,-0.01179625,0.03634699,0.03634699,-0.03448904
71,0.4463349,0.02432613,0.206133,-0.01196641,0.0345061,0.0345061,-0.03382818
72,0.4510233,0.02415477,0.2062592,-0.01210426,0.03342123,0.03342123,-0.03354425
73,0.4559979,0.023941,0.2064153,-0.01227137,0.03172813,0.03172813,-0.03335805
74,0.4604983,0.0237339,0.2065617,-0.01243332,0.03039153,0.03039153,-0.03275589
75,0.4655863,0.02352971,0.206702,-0.01259222,0.02929378,0.02929378,-0.03246268
76,0.4706242,0.02333272,0.2068334,-0.01274579,0.02778354,0.02778354,-0.03172675
77,0.4756491,0.02313869,0.2069593,-0.01289639,0.02655521,0.02655521,-0.03104551
78,0.4803383,0.0229435,0.2070834,-0.01304626,0.02497427,0.02497427,-0.0300721
79,0.4853904,0.02277014,0.2071921,-0.01317685,0.02404105,0.02404105,-0.02913821
80,0.4899937,0.02263005,0.2072778,-0.01328259,0.02298657,0.02298657,-0.02837352
81,0.4946241,0.0224597,0.2073803,-0.01340974,0.02162576,0.02162576,-0.0274818
82,0.4994597,0.02229269,0.2074786,-0.01353415,0.0205338,0.0205338,-0.02646021
83,0.5043822,0.0221296,0.2075722,-0.01365556,0.01920621,0.01920621,-0.02517474
84,0.5112956,0.02191013,0.2076917,-0.01382299,0.01779148,0.01779148,-0.02409643
85,0.5187655,0.02171955,0.2077963,-0.01396203,0.01663079,0.01663079,-0.02284379
86,0.5235916,0.02157752,0.2078697,-0.0140694,0.01578875,0.01578875,-0.02195085
87,0.5294386,0.02141497,0.2079556,-0.01418628,0.01502204,0.01502204,-0.02115143
88,0.537529,0.02120526,0.2080631,-0.0143372,0.01404583,0.01404583,-0.02007279
89,0.5469943,0.02095753,0.2081885,-0.01451092,0.01329014,0.01329014,-0.0189385
90,0.5560209,0.0207453,0.2082957,-0.0146542,0.01291505,0.01291505,-0.01831255
91,0.5632021,0.02053145,0.2084014,-0.01479686,0.01272215,0.01272215,-0.01784136
92,0.5713912,0.02030111,0.2085143,-0.01494611,0.01289672,0.01289672,-0.01761863
93,0.5792836,0.02007064,0.2086312,-0.01508356,0.01370251,0.01370251,-0.01784953
94,0.5874477,0.01985078,0.2087462,-0.01520469,0.01405084,0.01405084,-0.01716427
95,0.5950284,0.01964572,0.20885,-0.01531809,0.01402568,0.01402568,-0.01654535
96,0.6040693,0.01938811,0.2089826,-0.01545113,0.01383933,0.01383933,-0.01460117
97,0.6114329,0.01920819,0.209074,-0.01554185,0.01321054,0.01321054,-0.01364687
98,0.6192034,0.01902821,0.2091634,-0.01563244,0.01178506,0.01178506,-0.01241082
99,0.6251866,0.01891074,0.2092196,-0.01569307,0.01037096,0.01037096,-0.01108634
100,0.629952,0.01883527,0.2092542,-0.0157336,0.009822428,0.009822428,-0.01057389
101,0.6347339,0.01874457,0.2092959,-0.01578129,0.009190796,0.009190796,-0.01004999
102,0.639016,0.01868564,0.2093248,-0.01580931,0.008789889,0.008789889,-0.009764303
103,0.6433228,0.01860348,0.2093585,-0.01585731,0.007793213,0.007793213,-0.009004011
104,0.6478034,0.0185453,0.2093864,-0.01588491,0.007370334,0.007370334,-0.00862928
105,0.6520937,0.0184909,0.2094095,-0.01591513,0.006743545,0.006743545,-0.008139852
106,0.6565788,0.01843619,0.2094323,-0.01594545,0.006145325,0.006145325,-0.00614406
107,0.6612178,0.01838768,0.2094552,-0.01596841,0.00546504,0.00546504,-0.006826913
108,0.6658491,0.01835602,0.2094701,-0.0159834,0.004882602,0.004882602,-0.004927666
109,0.6702967,0.018324,0.209485,-0.01599856,0.004450169,0.004450169,-0.004510129
