Frame,Time,Cursor Position X,Cursor Position Y,Cursor Position Z,Cursor Velocity X,Cursor Velocity Y,Cursor Velocity Z
1,0,0,0,0,0,0,0
2,0.02,-0.2613038,0.107254,-0.1191088,-0.004572411,-0.004572411,0.02364142
3,0.036881,-0.2601932,0.1070698,-0.1183385,-0.0174574,-0.0174574,0.05306011
4,0.0467599,-0.2593648,0.1065692,-0.117671,-0.03147884,-0.03147884,0.06208393
5,0.0547226,-0.258688,0.1061201,-0.1169393,-0.04421344,-0.04421344,0.07330514
6,0.0597099,-0.2582199,0.1055964,-0.1164067,-0.05907609,-0.05907609,0.07950057
7,0.0718308,-0.2570061,0.1042774,-0.1150068,-0.08638854,-0.08638854,0.105533
8,0.0777813,-0.2564377,0.1035862,-0.1142047,-0.1033693,-0.1033693,0.1138643
9,0.0824349,-0.2559224,0.1028669,-0.1135443,-0.1138785,-0.1138785,0.1184386
10,0.0882196,-0.2553565,0.1021665,-0.1128688,-0.122586,-0.122586,0.1301007
11,0.0937899,-0.2547465,0.1012786,-0.1119432,-0.1316567,-0.1316567,0.1370461
12,0.0985389,-0.2541561,0.1004516,-0.1111472,-0.1425632,-0.1425632,0.1438641
13,0.1033985,-0.2535963,0.09963293,-0.1102475,-0.1487025,-0.1487025,0.1498268
14,0.1094135,-0.2527233,0.0985968,-0.109363,-0.1665561,-0.1665561,0.1575182
15,0.1143993,-0.2520446,0.09767147,-0.1084324,-0.1733359,-0.1733359,0.1638753
16,0.1192115,-0.2514374,0.09692928,-0.1077628,-0.1738121,-0.1738121,0.1671668
17,0.1246376,-0.2505051,0.09580617,-0.1066409,-0.1812674,-0.1812674,0.173266
18,0.130557,-0.2495011,0.09463912,-0.105503,-0.184858,-0.184858,0.1782779
19,0.1355841,-0.2485691,0.09373398,-0.1046249,-0.1913152,-0.1913152,0.1812938
20,0.1409277,-0.247572,0.09262778,-0.1037308,-0.1968328,-0.1968328,0.1845706
21,0.1463029,-0.2463563,0.09147261,-0.1026587,-0.195356,-0.195356,0.1836738
22,0.1516518,-0.2454024,0.09053756,-0.1016777,-0.1923926,-0.1923926,0.1835514
23,0.1567961,-0.2442985,0.08955922,-0.1008788,-0.188278,-0.188278,0.1810115
24,0.1617083,-0.2431751,0.08859722,-0.1000782,-0.187399,-0.187399,0.1784976
25,0.1666681,-0.2420311,0.08772916,-0.09927559,-0.1824664,-0.1824664,0.1718658
26,0.1716778,-0.2409201,0.08685663,-0.09848794,-0.1769689,-0.1769689,0.1681188
27,0.1764263,-0.2396969,0.08609866,-0.09777898,-0.1715263,-0.1715263,0.1601264
28,0.1813124,-0.2385484,0.08533532,-0.09698816,-0.1634214,-0.1634214,0.1573392
29,0.1864285,-0.2373436,0.0845878,-0.09629239,-0.1573989,-0.1573989,0.1547016
30,0.1913735,-0.236069,0.08380266,-0.09557891,-0.1525607,-0.1525607,0.1500009
31,0.1960682,-0.2350599,0.08335279,-0.09505649,-0.1472022,-0.1472022,0.1489464
32,0.2014461,-0.2334238,0.08243889,-0.09423934,-0.1383393,-0.1383393,0.1443844
33,0.2070439,-0.2319985,0.08180881,-0.0935958,-0.1350274,-0.1350274,0.1395156
34,0.2118103,-0.2306104,0.0812486,-0.09296605,-0.1262676,-0.1262676,0.1362448
35,0.2167321,-0.2291123,0.08065619,-0.0924096,-0.1197027,-0.1197027,0.1308724
36,0.2216221,-0.2275971,0.08008315,-0.0918494,-0.1153717,-0.1153717,0.1241233
37,0.2272415,-0.2260852,0.07957819,-0.09139396,-0.1096225,-0.1096225,0.1238902
38,0.2325571,-0.22432,0.07905342,-0.09086221,-0.1004288,-0.1004288,0.09361397
39,0.2376027,-0.2228291,0.078711,-0.0904131,-0.08992822,-0.08992822,0.09294648
40,0.2424575,-0.2213292,0.07830909,-0.08996129,-0.07806445,-0.07806445,0.09204835
41,0.2480075,-0.2198643,0.07812214,-0.08952001,-0.06611242,-0.06611242,0.09108406
42,0.252817,-0.2183326,0.07782955,-0.08905863,-0.0590951,-0.0590951,0.09101544
43,0.2576804,-0.2168781,0.07764228,-0.08869918,-0.04870218,-0.04870218,0.09027555
44,0.2712745,-0.2127803,0.07746191,-0.08794471,-0.02206296,-0.02206296,0.06047245
45,0.2845027,-0.2105185,0.07747459,-0.0874493,-0.002015859,-0.002015859,0.0575089
46,0.2907512,-0.2076442,0.0777628,-0.08704669,0.01683532,0.01683532,0.05278057
47,0.2955195,-0.2063113,0.0779072,-0.0868259,0.02665306,0.02665306,0.0492989
48,0.3000569,-0.205024,0.07817484,-0.086617,0.03651324,0.03651324,0.0450488
