Frame,Timestamp,unity_x,unity_y,unity_z,Vel_X,Vel_Y,Vel_Z
1.0,0.0,0.9589285714285716,0.19,-0.6890000000000001,0.02170572736124349,-0.0155024413776603,-0.01515000611383991
2.0,0.01667,0.9649949362564043,0.1949958298582152,-0.6942456213511257,0.052330729317853535,-0.020226560254611857,-0.02038955178884578
3.0,0.03333,0.9710613010842373,0.19999165971643038,-0.6994912427022513,0.0820475161073525,-0.01893207829553384,-0.01971212323510824
4.0,0.05,0.9648370666031214,0.20997497914929109,-0.6882781484570473,0.10970374485865692,-0.025104572632333948,-0.02651250820270339
5.0,0.06667,0.9585922792803523,0.21996663886572146,-0.6770375312760635,0.13598626825116497,-0.0486340300314515,-0.05090763509721584
6.0,0.08333,0.9636691290361017,0.22,-0.6889499582985821,0.16615923795395104,-0.09067587444645138,-0.09373249378482112
7.0,0.1,0.9687839072242741,0.22,-0.7009399499582983,0.20098670052783985,-0.14188121200942955,-0.14573122172626418
8.0,0.11667,0.9676259978553559,0.22,-0.704852376980817,0.23732928405433468,-0.19266043565096844,-0.19745619020094812
9.0,0.13333,0.966436514555781,0.22,-0.7087241451209337,0.2731157305908235,-0.24108456144702195,-0.24703866305093167
10.0,0.15,0.9654242622820604,0.22496246872393663,-0.7289720600500417,0.3074137725874976,-0.2896417731401804,-0.296849960504017
11.0,0.16667,0.9644132014774218,0.2299582985821518,-0.7493300667222684,0.3399452174186551,-0.3400933019500374,-0.3485617122946446
12.0,0.18333,0.9571505024027958,0.22504587155963304,-0.7145733944954125,0.3706903821590939,-0.38914577177035453,-0.3989223284337886
13.0,0.2,0.9498351801104095,0.22005004170141784,-0.6793527939949962,0.3999044496789167,-0.4334921704517586,-0.44418625756806235
14.0,0.21667,0.948407700861829,0.21505421184320267,-0.6976703502919102,0.4286335823527745,-0.47468315220740326,-0.48631538331252394
15.0,0.23333,0.947039795067318,0.2100583819849875,-0.7165296080066718,0.45756990909315504,-0.5179126210724618,-0.530430130878209
16.0,0.25,0.9519612573970375,0.2149374478732277,-0.6988517514595494,0.4872834184143992,-0.5653104100264029,-0.5788615484762485
17.0,0.26667,0.9569570872552524,0.2199332777314429,-0.6807418682235196,0.5174070846722697,-0.6149446799724148,-0.6296339598119044
18.0,0.28333,0.9496301481393226,0.22492910758965806,-0.6813625938281902,0.5477647835460597,-0.6641947670521894,-0.6799362937363177
19.0,0.3,0.9421364033519999,0.22992493744787323,-0.6822368640533775,0.5777647509234367,-0.7120290422404094,-0.7287255814311627
20.0,0.31667,0.9444841931768542,0.23,-0.7128817764804005,0.6068997604205294,-0.7599011705847558,-0.7776114372411156
21.0,0.33333,0.9469821081059613,0.23,-0.74398081734779,0.6351336241973822,-0.8084943722710448,-0.8272262449338601
22.0,0.35,0.9525795305611822,0.22508757297748122,-0.7173588407005838,0.6623799604747536,-0.8557207917836567,-0.8756110059744481
23.0,0.36667,0.9582295762341637,0.22009174311926605,-0.6897568807339447,0.688773689215996,-0.9000682753662459,-0.9211050268913016
24.0,0.38333,0.9583333333333335,0.22,-0.6934184737281065,0.7146356238480078,-0.941968558560553,-0.9639908599080909
25.0,0.4,0.9583333333333335,0.22,-0.6976649291075895,0.7401524051620485,-0.9830624404492591,-1.0059980612447363
26.0,0.41667,0.9587413122046149,0.2151042535446205,-0.6764535029190988,0.7653028213995378,-1.025228035523121,-1.0490439624853651
27.0,0.43333,0.9591576313594663,0.21010842368640534,-0.6547216430358631,0.7902032575028984,-1.0687484726138676,-1.093512344130296
28.0,0.45,0.9617267365661863,0.21488740617180985,-0.6773429941618012,0.8151322688156066,-1.112488483276113,-1.1381554330543884
29.0,0.46667,0.964343599825251,0.21988323603002502,-0.7009482902418682,0.8402142527350299,-1.1550486621632543,-1.1815937683848259
30.0,0.48333,0.9637077524921558,0.22,-0.6845452460383655,0.8655208254873177,-1.197114262543929,-1.2244841908381034
31.0,0.5,0.9629940625124114,0.22,-0.6671847372810675,0.8907616637456444,-1.2399357347962687,-1.268103197671242
32.0,0.51667,0.9578155407283848,0.22,-0.6534772727272724,0.9158642045026484,-1.283658007777315,-1.312639782324105
33.0,0.53333,0.952522340045276,0.22,-0.6398636363636364,0.9407622873692078,-1.3278578346195202,-1.3577005305600582
34.0,0.55,0.9547542595019658,0.22486238532110095,-0.6561536697247711,0.9654675956533479,-1.3725438945080102,-1.4032554901743541
35.0,0.56667,0.9571927002660943,0.22985821517931612,-0.6732643869891576,0.9900610070605587,-1.4182486763650468,-1.449918367669654
36.0,0.58333,0.9546037372413518,0.23,-0.6526349040867387,1.0146509774313643,-1.4657677082030767,-1.4984263967818758
37.0,0.6,0.951867925652329,0.23,-0.6309030442035031,1.0392709253496342,-1.5147736043772528,-1.54844624643212
